epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6145,2.19618,3.41499,1.87878,0.15939,0.13043,0.07437,0.02408,2.27934,11.6372,2.53123,0.000539324,0.000539324,0.000539324
2,36.7762,1.9909,2.185,1.76337,0.20611,0.21739,0.11986,0.05927,2.46228,7.76078,2.63796,0.00108415,0.00108415,0.00108415
3,53.1039,2.07616,2.12348,1.83042,0.02621,0.18841,0.01296,0.00247,3.03947,23.8286,3.48169,0.00161797,0.00161797,0.00161797
4,68.3567,2.10871,2.08358,1.85755,0.04308,0.36232,0.04028,0.01269,2.46614,37.869,2.64985,0.00161749,0.00161749,0.00161749
5,84.3934,2.06512,2.04169,1.82269,0.09323,0.21739,0.06044,0.02013,2.55889,17.6613,3.05865,0.00160099,0.00160099,0.00160099
6,100.866,2.11197,2.05058,1.88329,0.17995,0.2029,0.08755,0.0233,2.43274,5.56633,2.31548,0.00158448,0.00158448,0.00158448
7,115.859,1.98711,1.85634,1.76833,0.15797,0.15942,0.07449,0.02629,2.40843,4.16934,2.37638,0.00156798,0.00156798,0.00156798
8,129.547,1.98819,1.85481,1.76888,0.24747,0.27536,0.21827,0.10228,2.23202,2.82354,2.10616,0.00155148,0.00155148,0.00155148
9,143.999,1.98375,1.86308,1.78433,0.32138,0.24638,0.23277,0.09851,2.22264,3.17279,2.25661,0.00153497,0.00153497,0.00153497
10,159.114,1.90126,1.80041,1.74081,0.34346,0.21739,0.1774,0.07741,2.21398,3.71792,2.2457,0.00151847,0.00151847,0.00151847
11,173.73,1.94669,1.79474,1.73183,0.45502,0.24638,0.27016,0.1119,2.22261,2.32963,2.14211,0.00150197,0.00150197,0.00150197
12,188.67,1.91656,1.67506,1.68887,0.34371,0.28986,0.22977,0.08923,2.47118,3.97498,2.33596,0.00148546,0.00148546,0.00148546
13,203.614,1.87201,1.67527,1.69156,0.28506,0.27536,0.24632,0.08862,2.21337,2.91877,2.22101,0.00146896,0.00146896,0.00146896
14,217.88,1.87908,1.6586,1.67,0.47137,0.36185,0.35453,0.14723,2.12024,2.0942,1.96614,0.00145246,0.00145246,0.00145246
15,231.301,1.85999,1.64001,1.66417,0.40922,0.36232,0.33938,0.14956,2.08154,2.23545,1.96291,0.00143595,0.00143595,0.00143595
16,245.609,1.84821,1.57866,1.62684,0.56453,0.2029,0.25908,0.11965,2.12765,2.53067,1.96588,0.00141945,0.00141945,0.00141945
17,260.069,1.84703,1.61272,1.63256,0.2684,0.34033,0.25822,0.12374,2.09824,2.22622,1.93855,0.00140295,0.00140295,0.00140295
18,275.077,1.79663,1.54566,1.60946,0.41563,0.26087,0.28554,0.12866,2.14977,2.59955,2.12109,0.00138644,0.00138644,0.00138644
19,289.429,1.83748,1.61777,1.65628,0.44496,0.30435,0.32328,0.13187,2.16172,2.19359,2.0429,0.00136994,0.00136994,0.00136994
20,304.297,1.80704,1.49605,1.59411,0.58643,0.27536,0.33636,0.16437,2.17065,2.36346,2.0588,0.00135344,0.00135344,0.00135344
21,318.741,1.77661,1.54695,1.61395,0.55587,0.33333,0.3341,0.15849,2.08922,2.33943,2.07201,0.00133693,0.00133693,0.00133693
22,333.07,1.76129,1.44307,1.5829,0.45061,0.36232,0.33062,0.16315,2.03251,2.37739,1.98962,0.00132043,0.00132043,0.00132043
23,347.666,1.81955,1.43865,1.59837,0.33148,0.27536,0.25936,0.12986,2.08188,2.38463,2.03171,0.00130393,0.00130393,0.00130393
24,362.529,1.75767,1.46812,1.61083,0.50582,0.35609,0.38917,0.17137,1.97726,2.09835,1.96736,0.00128742,0.00128742,0.00128742
25,376.731,1.71481,1.43009,1.54292,0.45686,0.31699,0.2832,0.12129,2.20091,2.13108,2.16096,0.00127092,0.00127092,0.00127092
26,390.451,1.73783,1.48382,1.57462,0.39617,0.33333,0.30424,0.1522,1.91885,2.24067,1.90176,0.00125442,0.00125442,0.00125442
27,404.547,1.71208,1.34758,1.53183,0.46617,0.39235,0.3337,0.16507,1.9593,2.02306,1.90381,0.00123791,0.00123791,0.00123791
28,419.078,1.66268,1.33928,1.54117,0.51013,0.30435,0.30579,0.16412,1.9537,2.27925,1.97206,0.00122141,0.00122141,0.00122141
29,434.046,1.68661,1.34247,1.56365,0.41672,0.30435,0.2922,0.14782,2.07481,2.42136,2.01572,0.00120491,0.00120491,0.00120491
30,448.83,1.68143,1.33367,1.52863,0.47259,0.40263,0.38984,0.1772,2.00579,1.95422,1.92703,0.0011884,0.0011884,0.0011884
31,463.801,1.67565,1.3452,1.53961,0.41071,0.36364,0.33353,0.17784,2.10133,2.18777,1.99979,0.0011719,0.0011719,0.0011719
32,478.296,1.60787,1.27713,1.48648,0.51252,0.42029,0.39698,0.19294,2.07412,2.16697,1.9484,0.0011554,0.0011554,0.0011554
33,493.409,1.60926,1.31157,1.49865,0.54502,0.34783,0.35879,0.18601,1.96063,1.9161,1.95084,0.00113889,0.00113889,0.00113889
34,507.862,1.62207,1.22973,1.48182,0.30597,0.33333,0.28895,0.16076,2.02421,2.4818,1.92469,0.00112239,0.00112239,0.00112239
35,522.756,1.63571,1.25271,1.49536,0.4679,0.3913,0.36699,0.18679,1.98632,2.11131,1.90429,0.00110589,0.00110589,0.00110589
36,537.287,1.58316,1.23155,1.45894,0.582,0.33333,0.40573,0.1925,2.00904,1.98995,1.89707,0.00108938,0.00108938,0.00108938
37,551.922,1.60451,1.22393,1.47498,0.59167,0.31884,0.37264,0.18192,2.10553,2.35263,1.95359,0.00107288,0.00107288,0.00107288
38,566.481,1.57167,1.24888,1.46771,0.44476,0.42029,0.36492,0.21183,1.93502,1.98473,1.882,0.00105638,0.00105638,0.00105638
39,580.595,1.55971,1.22244,1.46065,0.56695,0.36232,0.38075,0.20852,1.95644,1.87961,1.93795,0.00103987,0.00103987,0.00103987
40,594.719,1.54262,1.19332,1.44417,0.43503,0.37681,0.36663,0.18367,1.98216,2.08821,1.84576,0.00102337,0.00102337,0.00102337
41,609.118,1.52319,1.17745,1.42605,0.53303,0.37681,0.39491,0.22839,2.04126,1.94484,2.07021,0.00100687,0.00100687,0.00100687
42,623.54,1.53482,1.15534,1.42568,0.63225,0.31884,0.33641,0.17433,2.03411,2.17457,2.05015,0.000990365,0.000990365,0.000990365
43,638.045,1.47286,1.06758,1.41149,0.48041,0.36232,0.36851,0.18147,2.08015,2.19608,1.98631,0.000973861,0.000973861,0.000973861
44,651.868,1.44262,1.08198,1.39229,0.42968,0.3913,0.35216,0.18885,2.20459,2.03914,2.16321,0.000957358,0.000957358,0.000957358
45,665.252,1.50157,1.10317,1.43545,0.60861,0.34783,0.37205,0.20812,2.04617,2.00081,1.97715,0.000940855,0.000940855,0.000940855
46,679.439,1.47627,1.06666,1.3963,0.53621,0.37681,0.39576,0.20343,2.02671,1.91199,2.01723,0.000924352,0.000924352,0.000924352
47,694.529,1.44633,1.03816,1.38485,0.51702,0.34783,0.36944,0.18853,2.07928,2.02831,2.03554,0.000907848,0.000907848,0.000907848
48,709.456,1.42106,1.01785,1.36525,0.56685,0.34148,0.34621,0.17643,2.19458,2.10863,2.14504,0.000891345,0.000891345,0.000891345
49,724.147,1.45461,1.05035,1.38955,0.63466,0.30217,0.32711,0.17634,2.06442,2.03891,1.91584,0.000874842,0.000874842,0.000874842
50,738.883,1.38887,0.98522,1.34378,0.57963,0.33981,0.38525,0.18711,2.12872,1.96217,2.08388,0.000858338,0.000858338,0.000858338
51,753.345,1.44448,1.04481,1.40105,0.5729,0.33333,0.35433,0.17983,2.12384,1.99574,2.08129,0.000841835,0.000841835,0.000841835
52,768.441,1.38335,0.96085,1.34578,0.64627,0.36232,0.41122,0.18496,1.99917,1.87204,1.98599,0.000825332,0.000825332,0.000825332
53,783.616,1.3973,0.97865,1.35504,0.63813,0.30675,0.33241,0.16587,2.16243,2.10009,2.10739,0.000808828,0.000808828,0.000808828
54,798.637,1.40237,0.99649,1.37745,0.4409,0.33333,0.33681,0.17047,2.21614,2.02921,2.18266,0.000792325,0.000792325,0.000792325
55,813.783,1.37171,0.93799,1.34783,0.56058,0.33333,0.38431,0.16747,2.06759,1.97383,2.05118,0.000775822,0.000775822,0.000775822
56,828.839,1.34554,0.90864,1.32094,0.49023,0.36237,0.36573,0.20425,2.04135,1.90424,2.08619,0.000759318,0.000759318,0.000759318
57,843.186,1.32125,0.86277,1.2981,0.71156,0.30435,0.39848,0.19882,2.09574,2.08773,2.05336,0.000742815,0.000742815,0.000742815
58,858.303,1.32275,0.92558,1.30243,0.46005,0.3913,0.37453,0.19818,1.97029,1.83885,1.96243,0.000726312,0.000726312,0.000726312
59,873.078,1.34207,0.91452,1.32524,0.57832,0.28986,0.30402,0.17607,2.05117,2.05413,2.10272,0.000709809,0.000709809,0.000709809
60,887.27,1.33513,0.88704,1.29051,0.52294,0.31884,0.30787,0.18348,2.05671,2.02854,2.06019,0.000693305,0.000693305,0.000693305
61,902.233,1.26766,0.88727,1.26961,0.6395,0.27536,0.30557,0.16906,2.04232,2.03965,2.02824,0.000676802,0.000676802,0.000676802
62,917.029,1.26921,0.87151,1.27886,0.53845,0.28986,0.30851,0.16323,2.23948,1.97895,2.25727,0.000660299,0.000660299,0.000660299
63,931.983,1.28008,0.85557,1.27108,0.45669,0.3913,0.3491,0.17236,2.05074,2.0583,2.09492,0.000643795,0.000643795,0.000643795
64,947.095,1.23201,0.84782,1.25904,0.59828,0.30223,0.32216,0.16886,2.14662,2.17533,2.26771,0.000627292,0.000627292,0.000627292
65,961.974,1.25278,0.84636,1.25943,0.4994,0.36232,0.35908,0.17323,2.08871,2.01919,2.17099,0.000610789,0.000610789,0.000610789
66,976.283,1.22745,0.8308,1.24522,0.55713,0.34783,0.38967,0.2056,2.0224,1.80879,2.05443,0.000594286,0.000594286,0.000594286
67,992.773,1.25443,0.84275,1.27826,0.62264,0.28986,0.34005,0.177,2.0778,1.90277,2.13525,0.000577782,0.000577782,0.000577782
68,1008.57,1.21684,0.79114,1.23361,0.50442,0.37681,0.35607,0.19298,2.05554,2.02462,2.08657,0.000561279,0.000561279,0.000561279
69,1024.43,1.17137,0.76995,1.22966,0.54388,0.31884,0.35744,0.19733,2.1023,1.9846,2.08176,0.000544776,0.000544776,0.000544776
70,1040.45,1.25138,0.80222,1.26021,0.66482,0.31628,0.37684,0.19617,2.06926,1.88925,2.01986,0.000528272,0.000528272,0.000528272
71,1055.85,1.1985,0.78098,1.22225,0.57585,0.31884,0.32536,0.169,2.24823,2.08611,2.18145,0.000511769,0.000511769,0.000511769
72,1071.22,1.22768,0.79992,1.2391,0.53406,0.30435,0.31235,0.16487,2.29868,2.15311,2.26188,0.000495266,0.000495266,0.000495266
73,1086.31,1.18205,0.7583,1.20519,0.64545,0.33333,0.3476,0.19079,2.06117,2.06781,2.10958,0.000478762,0.000478762,0.000478762
74,1102.04,1.1437,0.74117,1.19668,0.56456,0.30072,0.35417,0.19093,2.06499,2.03277,2.01628,0.000462259,0.000462259,0.000462259
75,1117.33,1.13921,0.75297,1.1846,0.56265,0.28986,0.31527,0.17461,2.20582,2.22679,2.37639,0.000445756,0.000445756,0.000445756
76,1132.26,1.17885,0.7431,1.2164,0.58876,0.31133,0.3635,0.18807,2.0639,1.95487,2.14921,0.000429253,0.000429253,0.000429253
77,1147.19,1.14465,0.73347,1.19788,0.55632,0.26087,0.28243,0.1703,2.16558,2.17707,2.27841,0.000412749,0.000412749,0.000412749
78,1161.71,1.10909,0.73285,1.19582,0.61928,0.28986,0.33489,0.18508,2.07813,1.9278,2.13784,0.000396246,0.000396246,0.000396246
79,1177.07,1.11393,0.68754,1.18726,0.5324,0.31884,0.33265,0.18553,2.09829,1.95894,2.07778,0.000379743,0.000379743,0.000379743
80,1191.23,1.08859,0.69389,1.17228,0.68954,0.32197,0.40777,0.2018,2.04278,2.0064,2.07771,0.000363239,0.000363239,0.000363239
81,1206.33,1.07816,0.70019,1.16959,0.6855,0.30435,0.36151,0.20809,2.04218,2.07873,2.13492,0.000346736,0.000346736,0.000346736
