epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3971.28,1.57684,1.27349,1.49522,0.50803,0.34783,0.38615,0.20899,2.04129,1.90598,2.04854,0.000990365,0.000990365,0.000990365
43,4049.16,1.52742,1.17353,1.48419,0.43481,0.3913,0.39372,0.2003,1.9389,2.11246,1.94565,0.000973861,0.000973861,0.000973861
44,4132.35,1.54066,1.21863,1.48081,0.4538,0.31884,0.36456,0.18872,2.1972,2.05729,2.15098,0.000957358,0.000957358,0.000957358
45,4216.79,1.58377,1.19231,1.50741,0.56647,0.35985,0.35214,0.16372,2.13181,2.27627,1.98181,0.000940855,0.000940855,0.000940855
46,4309.49,1.53409,1.1735,1.45283,0.33877,0.36232,0.34068,0.17558,1.99438,1.97919,2.01797,0.000924352,0.000924352,0.000924352
47,4390.84,1.50597,1.14044,1.45908,0.48495,0.34783,0.37819,0.18786,1.96672,1.77051,2.00863,0.000907848,0.000907848,0.000907848
48,4475.14,1.50227,1.11704,1.4515,0.56861,0.28986,0.33048,0.17132,2.13358,2.16763,2.0673,0.000891345,0.000891345,0.000891345
49,4567.52,1.50621,1.15177,1.44267,0.47344,0.3913,0.3846,0.2164,1.82799,1.8434,1.90478,0.000874842,0.000874842,0.000874842
50,4662.08,1.47272,1.12545,1.42022,0.46633,0.4058,0.41389,0.2257,1.92065,1.98707,1.96415,0.000858338,0.000858338,0.000858338
51,4757.32,1.48573,1.13964,1.46195,0.65497,0.37681,0.40654,0.19739,2.05264,1.94949,2.05466,0.000841835,0.000841835,0.000841835
52,4856.83,1.44176,1.03802,1.40911,0.49987,0.4058,0.3632,0.1859,2.12451,2.03545,2.05719,0.000825332,0.000825332,0.000825332
53,4930.2,1.44879,1.0745,1.40848,0.66401,0.25787,0.33452,0.18396,2.07865,1.98073,2.00471,0.000808828,0.000808828,0.000808828
54,5012.73,1.44885,1.06736,1.43896,0.43922,0.33333,0.33999,0.18651,2.02072,2.09882,1.96088,0.000792325,0.000792325,0.000792325
55,5084.39,1.43691,1.03918,1.43388,0.51059,0.23188,0.29494,0.16551,2.10434,2.23846,2.02049,0.000775822,0.000775822,0.000775822
56,5169.29,1.43099,1.0305,1.40994,0.55504,0.31884,0.41504,0.20429,2.0299,1.87695,1.98252,0.000759318,0.000759318,0.000759318
57,5231.32,1.37621,0.98759,1.37665,0.52051,0.39335,0.43049,0.21201,1.98343,1.69642,1.95504,0.000742815,0.000742815,0.000742815
58,5338.5,1.36948,0.99445,1.36943,0.61301,0.32147,0.39433,0.20334,2.03804,1.65223,2.01351,0.000726312,0.000726312,0.000726312
59,5410.09,1.37448,0.99582,1.39054,0.46415,0.43478,0.39762,0.20311,1.91717,1.91866,1.96378,0.000709809,0.000709809,0.000709809
60,5516.49,1.3678,0.94594,1.35652,0.3869,0.42029,0.39125,0.21041,1.95036,1.80591,1.98697,0.000693305,0.000693305,0.000693305
61,5597.12,1.35173,0.96363,1.37315,0.8225,0.26087,0.35073,0.1879,1.97583,1.94839,2.01369,0.000676802,0.000676802,0.000676802
62,5680.78,1.32857,0.94013,1.36,0.39626,0.42029,0.37878,0.18918,1.97901,1.85541,1.9956,0.000660299,0.000660299,0.000660299
63,5763.98,1.3277,0.91716,1.34308,0.41255,0.37681,0.35675,0.1956,1.91025,1.91616,2.00667,0.000643795,0.000643795,0.000643795
64,5840.37,1.30381,0.897,1.33211,0.59348,0.27536,0.30521,0.17288,2.05537,2.08878,2.08177,0.000627292,0.000627292,0.000627292
65,5917.44,1.29466,0.90941,1.30456,0.67009,0.28986,0.36252,0.19118,2.02898,2.20497,2.0269,0.000610789,0.000610789,0.000610789
66,5994.99,1.29906,0.88949,1.33268,0.47309,0.3913,0.40539,0.21235,1.9612,1.75843,1.9766,0.000594286,0.000594286,0.000594286
67,6080.68,1.28931,0.9179,1.34971,0.80418,0.28986,0.39506,0.19336,2.07944,2.09488,2.12076,0.000577782,0.000577782,0.000577782
68,6169.27,1.25088,0.85307,1.29407,0.36411,0.47826,0.39587,0.2104,2.02468,1.99002,2.0252,0.000561279,0.000561279,0.000561279
69,6251.41,1.21753,0.83605,1.28243,0.44892,0.37681,0.40607,0.22472,1.94777,1.89727,1.98014,0.000544776,0.000544776,0.000544776
70,6428.39,1.28496,0.86918,1.3172,0.56921,0.32563,0.37329,0.18325,2.04351,1.78119,2.14262,0.000528272,0.000528272,0.000528272
71,6503.31,1.23549,0.83909,1.27605,0.64471,0.31884,0.37934,0.19777,2.01376,1.9722,2.03873,0.000511769,0.000511769,0.000511769
72,6582.56,1.23765,0.86451,1.29228,0.63299,0.30435,0.37209,0.20129,1.93452,1.87826,1.97569,0.000495266,0.000495266,0.000495266
73,6660.3,1.22141,0.81436,1.26346,0.50099,0.4058,0.39621,0.22155,1.92237,1.94756,1.98618,0.000478762,0.000478762,0.000478762
74,6742.18,1.18779,0.79352,1.26306,0.49133,0.33333,0.3682,0.21386,1.94701,1.92397,1.97533,0.000462259,0.000462259,0.000462259
75,6860.79,1.18638,0.79603,1.256,0.43512,0.43478,0.38631,0.20458,2.01707,1.90482,2.06733,0.000445756,0.000445756,0.000445756
76,6976.69,1.21393,0.7874,1.27451,0.56901,0.34447,0.38934,0.20133,2.04041,1.95419,2.09719,0.000429253,0.000429253,0.000429253
77,7045.39,1.16328,0.76972,1.23844,0.49402,0.37681,0.39764,0.20158,2.06775,1.89366,2.08207,0.000412749,0.000412749,0.000412749
78,7120.67,1.14017,0.78376,1.25464,0.61299,0.37681,0.42603,0.21991,2.01132,1.84334,2.01991,0.000396246,0.000396246,0.000396246
79,7202.67,1.12324,0.7195,1.22092,0.6969,0.34783,0.39576,0.22402,1.92508,1.74365,1.97806,0.000379743,0.000379743,0.000379743
80,7284.12,1.10687,0.70893,1.21938,0.73701,0.31884,0.44074,0.2477,1.82197,1.76622,1.90623,0.000363239,0.000363239,0.000363239
81,7395.63,1.084,0.71254,1.20581,0.43569,0.42029,0.40733,0.2303,1.92489,1.84846,2.0253,0.000346736,0.000346736,0.000346736
82,7466.59,1.10632,0.73374,1.22176,0.50561,0.42988,0.4498,0.2461,1.97186,1.63964,2.0884,0.000330233,0.000330233,0.000330233
83,7544.75,1.14471,0.74398,1.23051,0.66508,0.33333,0.40464,0.21691,1.93936,1.87084,2.0741,0.000313729,0.000313729,0.000313729
84,7629.51,1.06069,0.70509,1.19729,0.61329,0.32185,0.37882,0.22409,1.87416,1.90218,1.96481,0.000297226,0.000297226,0.000297226
85,7707.29,1.08599,0.73024,1.23485,0.62879,0.30435,0.38762,0.21624,2.01219,1.93577,2.07466,0.000280723,0.000280723,0.000280723
86,7782.18,1.07964,0.70058,1.19001,0.53999,0.37681,0.40159,0.21303,2.05024,2.07048,2.12383,0.00026422,0.00026422,0.00026422
87,7864.64,1.05469,0.67489,1.16869,0.77783,0.37681,0.47107,0.2141,1.94927,1.83034,2.02381,0.000247716,0.000247716,0.000247716
88,7950.02,1.04523,0.65851,1.16655,0.56755,0.42029,0.41459,0.22512,1.83377,1.8275,1.95222,0.000231213,0.000231213,0.000231213
89,8020.31,1.01443,0.65992,1.16324,0.73794,0.36232,0.42131,0.23382,1.932,1.80958,2.04399,0.00021471,0.00021471,0.00021471
90,8111.42,1.03591,0.64936,1.16544,0.64838,0.31884,0.40001,0.22091,1.93171,1.80478,2.0344,0.000198206,0.000198206,0.000198206
91,8220.06,1.05894,0.68085,1.18767,0.61532,0.36232,0.40479,0.20814,2.02659,1.87376,2.12912,0.000181703,0.000181703,0.000181703
92,8304.11,0.97312,0.65133,1.16176,0.72546,0.30435,0.41233,0.23041,1.97509,1.66088,2.09536,0.0001652,0.0001652,0.0001652
93,8390.24,0.96831,0.60417,1.14839,0.46072,0.42029,0.41447,0.21103,1.99526,1.77635,2.10754,0.000148696,0.000148696,0.000148696
94,8477.02,0.94099,0.57135,1.10585,0.51741,0.37299,0.39173,0.20666,1.9318,1.79072,2.03245,0.000132193,0.000132193,0.000132193
95,8541.14,0.91326,0.56813,1.11306,0.60572,0.37681,0.40225,0.2112,1.92408,1.79611,2.0187,0.00011569,0.00011569,0.00011569
96,8628.06,0.90461,0.53782,1.09452,0.5584,0.3913,0.42455,0.21838,2.04853,1.70971,2.16079,9.91865e-05,9.91865e-05,9.91865e-05
97,8696.18,0.89164,0.54202,1.08253,0.53654,0.3913,0.39005,0.21132,1.99993,1.69249,2.1301,8.26832e-05,8.26832e-05,8.26832e-05
98,8787.61,0.89894,0.54975,1.09993,0.54981,0.40711,0.42733,0.22064,1.93804,1.65659,2.06571,6.61799e-05,6.61799e-05,6.61799e-05
99,8874.16,0.87945,0.5165,1.07892,0.65055,0.37681,0.42852,0.22898,1.94256,1.68431,2.06121,4.96766e-05,4.96766e-05,4.96766e-05
100,8973.3,0.84909,0.53234,1.06194,0.65307,0.37681,0.43752,0.23088,1.98498,1.68065,2.10579,3.31733e-05,3.31733e-05,3.31733e-05
