epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,366.097,1.56153,1.24974,1.41303,0.47454,0.36232,0.33772,0.17136,2.13021,2.01494,1.98233,0.000990365,0.000990365,0.000990365
43,375.027,1.49011,1.12101,1.38198,0.58051,0.33333,0.36218,0.17053,2.04371,2.08231,1.93838,0.000973861,0.000973861,0.000973861
44,383.765,1.4914,1.1716,1.38986,0.57158,0.38677,0.35635,0.18678,2.08322,1.96823,1.91699,0.000957358,0.000957358,0.000957358
45,392.584,1.53792,1.17591,1.42024,0.49402,0.36232,0.37368,0.18167,2.00359,1.98243,1.89533,0.000940855,0.000940855,0.000940855
46,401.783,1.52705,1.1309,1.38504,0.34665,0.4058,0.32264,0.17431,1.96766,2.10484,1.85732,0.000924352,0.000924352,0.000924352
47,410.822,1.49621,1.13488,1.38202,0.35286,0.44928,0.34711,0.17658,1.89374,2.03028,1.82029,0.000907848,0.000907848,0.000907848
48,419.858,1.47456,1.08494,1.36468,0.65423,0.28986,0.34163,0.17411,1.93145,2.0498,1.82902,0.000891345,0.000891345,0.000891345
49,429.003,1.49434,1.12209,1.37752,0.61755,0.30435,0.35576,0.17493,1.95189,1.98285,1.81049,0.000874842,0.000874842,0.000874842
50,437.901,1.46677,1.10269,1.34853,0.38939,0.33333,0.33645,0.1706,1.88126,1.98665,1.84924,0.000858338,0.000858338,0.000858338
51,446.948,1.48072,1.13451,1.37822,0.49965,0.34783,0.32553,0.17205,1.99904,2.01605,1.93552,0.000841835,0.000841835,0.000841835
52,455.482,1.44366,1.03425,1.34736,0.57973,0.34783,0.41334,0.20608,1.84868,1.77999,1.79969,0.000825332,0.000825332,0.000825332
53,464.168,1.49219,1.0608,1.36025,0.43832,0.4058,0.35627,0.17108,2.06718,1.79526,1.94317,0.000808828,0.000808828,0.000808828
54,472.569,1.45387,1.08296,1.37049,0.48793,0.33333,0.32536,0.18233,1.83153,1.95411,1.79102,0.000792325,0.000792325,0.000792325
55,480.728,1.42191,1.02282,1.34275,0.46348,0.30435,0.33848,0.17635,2.02101,2.18236,1.95516,0.000775822,0.000775822,0.000775822
56,488.875,1.42484,1.01393,1.32591,0.51663,0.28986,0.32082,0.1892,1.71795,2.1439,1.73074,0.000759318,0.000759318,0.000759318
57,496.954,1.38581,0.9598,1.29758,0.43083,0.37681,0.33989,0.17318,2.08485,2.18005,1.99184,0.000742815,0.000742815,0.000742815
58,505.195,1.38009,0.99557,1.30351,0.47238,0.44928,0.39732,0.20566,1.95624,1.79949,1.88839,0.000726312,0.000726312,0.000726312
59,514.151,1.39761,1.00767,1.33239,0.41984,0.42029,0.42062,0.21953,1.96943,1.71194,1.9576,0.000709809,0.000709809,0.000709809
60,522.744,1.40718,0.97145,1.29942,0.53923,0.35624,0.38026,0.21096,1.94503,1.95131,1.90526,0.000693305,0.000693305,0.000693305
61,530.92,1.35765,0.9697,1.29901,0.49338,0.33333,0.37728,0.20889,1.84785,1.75869,1.8875,0.000676802,0.000676802,0.000676802
62,539.241,1.34956,0.9539,1.29572,0.54453,0.28986,0.33443,0.1973,1.90306,1.9813,1.9018,0.000660299,0.000660299,0.000660299
63,547.293,1.36092,0.94289,1.29101,0.43128,0.3913,0.41449,0.20788,1.93595,1.79492,1.92105,0.000643795,0.000643795,0.000643795
64,555.615,1.32843,0.95839,1.28725,0.49703,0.27218,0.32143,0.18243,1.92614,2.18854,1.90426,0.000627292,0.000627292,0.000627292
65,564.392,1.34939,0.96006,1.27771,0.49429,0.44928,0.41759,0.22855,1.84469,1.89491,1.82672,0.000610789,0.000610789,0.000610789
66,572.945,1.33296,0.91931,1.27644,0.48445,0.38137,0.38415,0.19797,1.86081,1.85438,1.84899,0.000594286,0.000594286,0.000594286
67,581.057,1.3149,0.94224,1.28704,0.62723,0.31706,0.38371,0.19338,1.97875,1.8553,1.9823,0.000577782,0.000577782,0.000577782
68,590.224,1.32043,0.89719,1.25834,0.5767,0.36232,0.37644,0.17469,2.00376,2.08753,1.93666,0.000561279,0.000561279,0.000561279
69,598.81,1.2876,0.88939,1.25454,0.60077,0.34783,0.38509,0.19303,1.96305,2.02216,1.96046,0.000544776,0.000544776,0.000544776
70,607.335,1.32576,0.91486,1.28016,0.49893,0.43478,0.3931,0.21107,1.98786,1.88857,1.99605,0.000528272,0.000528272,0.000528272
71,617.064,1.31399,0.87739,1.26148,0.51545,0.4058,0.43154,0.21766,1.97109,1.75886,1.95181,0.000511769,0.000511769,0.000511769
72,625.675,1.3132,0.89189,1.2692,0.61645,0.30435,0.38079,0.21399,1.8987,1.84954,1.86178,0.000495266,0.000495266,0.000495266
73,634.008,1.29011,0.86085,1.2386,0.65606,0.30435,0.38392,0.20463,1.99482,1.98941,2.00465,0.000478762,0.000478762,0.000478762
74,642.521,1.2573,0.84393,1.23972,0.52077,0.4058,0.39486,0.19165,2.05319,2.10904,1.98077,0.000462259,0.000462259,0.000462259
75,650.808,1.25064,0.85023,1.22484,0.59541,0.34133,0.37237,0.21311,1.97973,1.90819,1.9965,0.000445756,0.000445756,0.000445756
76,659.093,1.27657,0.85708,1.24007,0.60178,0.37238,0.44576,0.2268,1.91991,1.79363,2.00186,0.000429253,0.000429253,0.000429253
77,667.657,1.23565,0.84725,1.21679,0.53506,0.34783,0.39832,0.20355,1.97457,1.8675,2.01938,0.000412749,0.000412749,0.000412749
78,676.121,1.2141,0.84826,1.22826,0.65107,0.33333,0.38635,0.20627,1.999,1.83204,2.01917,0.000396246,0.000396246,0.000396246
79,684.411,1.23254,0.80674,1.21596,0.60529,0.33333,0.4014,0.21146,1.89403,1.97575,1.84885,0.000379743,0.000379743,0.000379743
80,692.591,1.1979,0.79059,1.20497,0.59066,0.36232,0.43456,0.2078,1.86072,2.05267,1.84524,0.000363239,0.000363239,0.000363239
81,700.841,1.19029,0.79946,1.20078,0.60485,0.33333,0.40187,0.19569,2.08178,1.97189,2.14216,0.000346736,0.000346736,0.000346736
82,709.437,1.20655,0.81019,1.20846,0.51941,0.43478,0.38814,0.19955,2.00176,2.09043,1.98011,0.000330233,0.000330233,0.000330233
83,717.88,1.24474,0.82721,1.22538,0.58631,0.37681,0.37865,0.18983,1.97073,2.03095,1.95629,0.000313729,0.000313729,0.000313729
